from_variable,to_variable,stage,formula_id,edge_type,source_v4_line
B_max,B_eff,magnetic,V5_0001,formula_parent,477
I_exc,B_eff,magnetic,V5_0001,formula_parent,477
I_ref,B_eff,magnetic,V5_0001,formula_parent,477
thermal_derate,B_eff,magnetic,V5_0001,formula_parent,477
T_coil,B_eff,magnetic,V5_0001,formula_parent,477
C_feed_prev,C_feed,tower_mill,V5_0002,formula_parent,1301
tau_cyc_pool,C_feed,tower_mill,V5_0002,formula_parent,1301
C_feed_in,C_feed,tower_mill,V5_0002,formula_parent,1301
M_mag_conc_solid,C_feed_in,tower_mill,V5_0003,formula_parent,1291
M_tm_discharge_solid_prev,C_feed_in,tower_mill,V5_0003,formula_parent,1291
M_mag_conc_wet,C_feed_in,tower_mill,V5_0003,formula_parent,1291
M_tm_discharge_wet_prev,C_feed_in,tower_mill,V5_0003,formula_parent,1291
M_water_add,C_feed_in,tower_mill,V5_0003,formula_parent,1291
C_nom,C_i,boundary,V5_0004,formula_parent,317
k_load_C,C_i,boundary,V5_0004,formula_parent,317
M_wet_i,C_i,boundary,V5_0004,formula_parent,317
M_nom_i,C_i,boundary,V5_0004,formula_parent,317
k_clay_C,C_i,boundary,V5_0004,formula_parent,317
clay_i,C_i,boundary,V5_0004,formula_parent,317
xi_C_i,C_i,boundary,V5_0004,formula_parent,317
C_min,C_i,boundary,V5_0004,formula_parent,317
C_max,C_i,boundary,V5_0004,formula_parent,317
M_sand,C_mill,tower_mill,V5_0005,formula_parent,1359
M_mill_water_in,C_mill,tower_mill,V5_0005,formula_parent,1359
M_solid_mixed,C_mixed,boundary,V5_0006,formula_parent,383
M_wet_mixed,C_mixed,boundary,V5_0006,formula_parent,383
C_under_sp,C_under,flotation,V5_0007,formula_parent,727
tau_C,C_under,flotation,V5_0007,formula_parent,727
C_under_sp_s,C_under_s,flotation,V5_0008,formula_parent,1456
C_under_s_prev,C_under_s,flotation,V5_0008,formula_parent,1456
tau_NT_C,C_under_s,flotation,V5_0008,formula_parent,1456
C_nom,C_under_sp,flotation,V5_0009,formula_parent,726
Kbed,C_under_sp,flotation,V5_0009,formula_parent,726
L_NT,C_under_sp,flotation,V5_0009,formula_parent,726
L_ref,C_under_sp,flotation,V5_0009,formula_parent,726
