formula_id,lhs,formula_role,coverage_status,mapped_to,source_v4_line,source_v4_section,notes
V5_0007,C_under,concept_template,templated_covered,C_under_s;C_under_sp_s,727,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0009,C_under_sp,concept_template,templated_covered,C_under_sp_s,726,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0011,Ca2_effect,concept_template,templated_covered,Ca2_effect_s,813,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0014,E_Ca2_carb,concept_template,templated_covered,E_Ca2_carb_s,818,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0015,E_Ca2_sil,concept_template,templated_covered,E_Ca2_sil_s,817,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0016,E_air,concept_template,templated_covered,"E_air_{s,c}",925,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0018,E_collector,concept_template,templated_covered,"E_collector_{s,c}",922,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0020,E_density,concept_template,templated_covered,"E_density_{s,c}",926,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0022,E_depressant,concept_template,templated_covered,"E_depressant_{s,c}",923,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0025,E_lib_g,concept_template,templated_covered,"E_lib_g_{s,c}",928,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0027,E_mu,concept_template,templated_covered,"E_mu_{s,c}",929,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0029,E_pH,concept_template,templated_covered,"E_pH_{s,c}",924,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0033,E_size,concept_template,templated_covered,"E_size_{s,c}",927,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0055,I_NT,concept_template,semantic_covered,covered_by:I_NT_s,731,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0065,I_pump,concept_template,semantic_covered,covered_by:I_pump_phys,575,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,
V5_0068,I_tm,concept_template,semantic_covered,covered_by:I_tm_phys,650,6. 塔磨与旋流器因果模型 / 6.3 塔磨功耗和解离,
V5_0070,L_NT,concept_template,templated_covered,L_NT_s,725,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0072,L_cell_aerated,concept_template,templated_covered,"L_cell_aerated_{s,c}",889,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0099,M_cell_j,concept_template,templated_covered,"M_cell_j_{s,c};dM_cell_j_{s,c}/dt",948,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0105,M_overflow_solid,concept_template,semantic_covered,covered_by:M_tm_overflow_solid,603,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,
V5_0106,M_overflow_water,concept_template,semantic_covered,covered_by:M_tm_overflow_water,607,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,
V5_0108,M_sand_solid,concept_template,semantic_covered,covered_by:M_tm_sand_solid,604,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,
V5_0109,M_sand_water,concept_template,semantic_covered,covered_by:M_tm_sand_water,608,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,
V5_0124,OH_effect,concept_template,templated_covered,OH_effect_s,812,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0150,Q_air,concept_template,templated_covered,"Q_air_sp_{s,c};Q_air_total;Q_air_{s,c}",848,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0151,Q_air_sp,concept_template,templated_covered,"Q_air_sp_{s,c}",838,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0163,Q_froth_cell,concept_template,templated_covered,"Q_froth_cell_{s,c}",895,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0179,Q_j_ml_s,concept_template,semantic_covered,"covered_by:Q_{s,j}_ml_s",785,7. 浮选因果模型 / 7.3 药剂控制,
V5_0182,Q_out_cell,concept_template,templated_covered,"Q_out_cell_{s,c}",892,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0184,Q_out_solid,concept_template,templated_covered,"Q_out_solid_{s,c}",943,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0198,R_froth_zone,concept_template,templated_covered,"R_froth_zone_{s,c}",938,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0201,R_j,concept_template,templated_covered,"R_j_{s,c}",944,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0230,T_under,concept_template,templated_covered,T_under_s,729,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0233,V_pulp_actual,concept_template,templated_covered,"V_pulp_actual_{s,c}",893,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0296,dL_cell/dt,concept_template,templated_covered,"dL_cell_{s,c}/dt",896,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0303,dM_NT_solid/dt,concept_template,templated_covered,dM_NT_solid_s/dt,723,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0305,dM_cell_j/dt,concept_template,templated_covered,"dM_cell_j_{s,c}/dt",947,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0307,dV_NT_water/dt,concept_template,templated_covered,dV_NT_water_s/dt,724,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0312,dose_DF_K6_effective,concept_template,templated_covered,dose_DF_K6_effective_s,920,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0314,dose_TD_effective,concept_template,templated_covered,dose_TD_effective_s,919,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0316,dose_j_kg_t,concept_template,semantic_covered,covered_by:dose_TD_s;dose_DF_K6_s;dose_naoh_kg_t_s;dose_cao_kg_t_s,786,7. 浮选因果模型 / 7.3 药剂控制,
V5_0317,dose_need_DF_K6,concept_template,templated_covered,dose_need_DF_K6_s,776,7. 浮选因果模型 / 7.3 药剂控制,
V5_0319,dose_need_TD_clean,concept_template,templated_covered,dose_need_TD_clean_s,770,7. 浮选因果模型 / 7.3 药剂控制,
V5_0321,dose_need_TD_rough,concept_template,templated_covered,dose_need_TD_rough_s,762,7. 浮选因果模型 / 7.3 药剂控制,
V5_0323,dose_need_cao,concept_template,templated_covered,dose_need_cao_s,810,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0325,dose_need_naoh,concept_template,templated_covered,dose_need_naoh_s,809,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0333,entrainment_factor,concept_template,templated_covered,"entrainment_factor_{s,c}",912,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0338,f_j,concept_template,semantic_covered,"covered_by:f_{s,j}",784,7. 浮选因果模型 / 7.3 药剂控制,
V5_0339,f_j_sp,concept_template,semantic_covered,"covered_by:f_{s,j}_sp",783,7. 浮选因果模型 / 7.3 药剂控制,
V5_0354,froth_error,concept_template,semantic_covered,covered_by:dose_need_TD_rough_s,755,7. 浮选因果模型 / 7.3 药剂控制,
V5_0355,froth_j,concept_template,templated_covered,"froth_j_rate_{s,c};froth_j_{s,c}",950,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0356,froth_j_rate,concept_template,templated_covered,"froth_j_rate_{s,c}",945,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0359,froth_stability,concept_template,templated_covered,"froth_stability_{s,c}",858,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0388,gas_holdup,concept_template,templated_covered,"gas_holdup_{s,c}",888,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0390,grade_cell_j,concept_template,templated_covered,"grade_cell_j_{s,c}",942,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0393,h_froth,concept_template,templated_covered,"h_froth_{s,c}",869,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0395,h_ss,concept_template,templated_covered,"h_ss_{s,c}",868,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0398,hydrophobic_load,concept_template,templated_covered,"hydrophobic_load_{s,c}",832,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0402,k_float_carb,concept_template,templated_covered,"k_float_carb_{s,c}",933,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0404,k_float_fe_hem,concept_template,templated_covered,"k_float_fe_hem_{s,c}",935,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0406,k_float_fe_mag,concept_template,templated_covered,"k_float_fe_mag_{s,c}",934,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0408,k_float_gangue,concept_template,templated_covered,"k_float_gangue_{s,c}",931,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0410,k_float_sil,concept_template,templated_covered,"k_float_sil_{s,c}",932,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0416,lip_clearance,concept_template,templated_covered,"lip_clearance_{s,c}",937,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0423,mu_under,concept_template,templated_covered,mu_under_s,730,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0430,pH,concept_template,templated_covered,"E_pH_{s,c};pH_s;pH_sp_s;pH_ss_s",815,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
