dcs_name,physical_parent,listed_v4_lines,meas_v4_line,listed_sections,meas_section,migration_status,notes
MC1_FET503_AI,Q_water_phys,686,1416,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
MC1_TM204_HDZC_1_WD_AI,T_bearing1,692,1423,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
MC1_TM204_ZDJ_DZ_A_WD_AI,T_stator_A,694,1425,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
MC1_TM206_HDZC_2_WD_AI,T_bearing2,693,1424,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
MC1_TM206_ZDJ_DZ_B_WD_AI,T_stator_B,695,1426,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_mag_blowdown_valve,u_blowdown_phys,549,1279,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_coil_temp,T_coil,544,1273,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_excit_current,I_exc,542,1271,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_excit_voltage,V_exc_phys,543,1272,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_flush_water_pressure,P_flush_phys,550,1280,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_level,L_mag,547,1276,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_motor_current_rc,I_ring_motor_phys,551,1281,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_motor_voltage_rc,V_ring_motor_phys,552,1282,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_pulsation_freq,f_pul,545,1274,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_ring_freq,f_ring,546,1275,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_tailings_valve1,u_tail,,1277,,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_tailings_valve1/2,u_tail;u_tail_2,548,1277;1278,5. 磁选因果模型 / 5.4 磁选 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_mag_tailings_valve2,u_tail_2,,1278,,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,migrated,
agg_tm_cyclone_feed_flow,Q_pump,681,1411,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_feed_pressure,P_cyc,,1410,,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_overflow_pool_level,L_ov_pool,696,1427,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_pool_level,L_pool,684,1414,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
agg_tm_cyclone_pool_valve_setpoint,u_water_sp,685,1415,6. 塔磨与旋流器因果模型 / 6.4 塔磨 DCS 变量,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,migrated,
