formula_id,stage,source_v4_line,source_v4_section,lhs,rhs,formula_line,parents,state_type,formula_role,observable,status,notes
V5M_0502,flotation,manual,manual V5 closure,dose_TD_s,"(Q_{s,td_rough}_ml_s+Q_{s,td_clean}_ml_s)*3.6*rho_td_kg_L*active_td/max(M_feed_solid_tph_s,eps)","dose_TD_s = (Q_{s,td_rough}_ml_s+Q_{s,td_clean}_ml_s)*3.6*rho_td_kg_L*active_td/max(M_feed_solid_tph_s,eps)","Q_{s,td_rough}_ml_s;Q_{s,td_clean}_ml_s;rho_td_kg_L;active_td;M_feed_solid_tph_s",derived,executable,no,manual_closure,Actual TD dose from metering pump flow; added in V5 to close dose -> effect chain.
V5M_0503,flotation,manual,manual V5 closure,dose_DF_K6_s,"Q_{s,k6_rough}_ml_s*3.6*rho_k6_kg_L*active_k6/max(M_feed_solid_tph_s,eps)","dose_DF_K6_s = Q_{s,k6_rough}_ml_s*3.6*rho_k6_kg_L*active_k6/max(M_feed_solid_tph_s,eps)","Q_{s,k6_rough}_ml_s;rho_k6_kg_L;active_k6;M_feed_solid_tph_s",derived,executable,no,manual_closure,Actual K6/DF dose from pump flow. L_k6_s remains inventory sink unless starvation mode is enabled.
V5M_0504,flotation,manual,manual V5 closure,dose_naoh_kg_t_s,"Q_{s,naoh}_ml_s*3.6*rho_naoh_kg_L*active_naoh/max(M_feed_solid_tph_s,eps)","dose_naoh_kg_t_s = Q_{s,naoh}_ml_s*3.6*rho_naoh_kg_L*active_naoh/max(M_feed_solid_tph_s,eps)","Q_{s,naoh}_ml_s;rho_naoh_kg_L;active_naoh;M_feed_solid_tph_s",derived,executable,no,manual_closure,Actual NaOH dose from pump flow.
V5M_0505,flotation,manual,manual V5 closure,dose_cao_kg_t_s,"Q_{s,cao}_ml_s*3.6*rho_cao_kg_L*active_cao/max(M_feed_solid_tph_s,eps)","dose_cao_kg_t_s = Q_{s,cao}_ml_s*3.6*rho_cao_kg_L*active_cao/max(M_feed_solid_tph_s,eps)","Q_{s,cao}_ml_s;rho_cao_kg_L;active_cao;M_feed_solid_tph_s",derived,executable,no,manual_closure,Actual CaO dose from pump flow.
V5M_0506,flotation,manual,manual V5 closure,Q_feed_s,Q_NT_under_s,Q_feed_s = Q_NT_under_s,Q_NT_under_s,flow,executable,no,manual_closure,Connect thickener underflow volumetric flow to the real flotation feed for each series.
V5M_0507,flotation,manual,manual V5 closure,M_feed_solid_s,M_NT_under_solid_s,M_feed_solid_s = M_NT_under_solid_s,M_NT_under_solid_s,flow,executable,no,manual_closure,Connect thickener underflow solid flow to flotation reagent/load controllers.
V5M_0508,flotation,manual,manual V5 closure,M_feed_water_s,M_NT_under_water_s,M_feed_water_s = M_NT_under_water_s,M_NT_under_water_s,flow,executable,no,manual_closure,Connect thickener underflow water flow to flotation feed stream.
V5M_0509,flotation,manual,manual V5 closure,C_s,"M_feed_solid_s/max(M_feed_solid_s+M_feed_water_s,eps)","C_s = M_feed_solid_s/max(M_feed_solid_s+M_feed_water_s,eps)",M_feed_solid_s;M_feed_water_s,derived,executable,no,manual_closure,Series flotation feed concentration from the actual thickener underflow stream.
V5M_0510,flotation,manual,manual V5 closure,M_feed_j_s,M_feed_solid_s*grade_NT_under_j_s,M_feed_j_s = M_feed_solid_s*grade_NT_under_j_s,M_feed_solid_s;grade_NT_under_j_s,flow,executable,no,manual_closure,Component feed rate entering the first flotation cell from thickener underflow.
V5M_0511,flotation,manual,manual V5 closure,feed_grade_j_s,"M_feed_j_s/max(M_feed_solid_s,eps)","feed_grade_j_s = M_feed_j_s/max(M_feed_solid_s,eps)",M_feed_j_s;M_feed_solid_s,derived,executable,no,manual_closure,Component grade of the actual flotation feed stream.
