v4_formula_id,v4_line,v4_section,lhs,v4_formula_line,v5_formula_id,migration_status,decision,conflict_group,canonical_v4_line,notes
F0005_82,82,1. 对旧设计的重新判定 / 1.2 新设计的核心原则,DCS,DCS = a*y + noise,,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0005_83,83,1. 对旧设计的重新判定 / 1.2 新设计的核心原则,DCS,DCS = a*final_conc_tfe + noise,,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0007_101,101,2. 全局变量分类 / 2.1 外生变量,z_ore,"z_ore = { G_base,                 # 入口 TFe, 0-1 r_mag, r_hem, r_carb, r_sil, WI,                     # 难磨性/可磨性代理 clay,                   # 黏土/泥化代理 carbonate_buffer,       # 碳酸盐缓冲能力 silicate_buffer,        # 硅酸盐缓冲能力 ore_density_index,      # 固体密度变化代理 liberation_potential    # 同等磨矿能量下可解离性",,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0007_112,112,2. 全局变量分类 / 2.1 外生变量,z_utility,"z_utility = { water_pressure, grid_voltage, ambient_temp, reagent_supply_pressure, air_supply_health",,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0007_120,120,2. 全局变量分类 / 2.1 外生变量,z_equipment,"z_equipment = { mag_unit_health[], tm_unit_health[], cyclone_open_count, flo_cell_health[], pump_health[], sensor_fault_state[]",,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0007_129,129,2. 全局变量分类 / 2.1 外生变量,z_intervention,"z_intervention = { PRBS_TD, PRBS_NaOH, PRBS_CaO, PRBS_air, PRBS_water, PRBS_feed_rate",,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0009_144,144,2. 全局变量分类 / 2.1 外生变量,dWI_i,dWI_i = theta_WI*(WI_target_i-WI_i)*dt + sigma_WI*dW_WI_i,V5_0309,migrated,canonical_formula,no,144,
F0009_145,145,2. 全局变量分类 / 2.1 外生变量,dclay_i,dclay_i = theta_clay*(clay_target_i-clay_i)*dt + sigma_clay*dW_clay_i,V5_0310,migrated,canonical_formula,no,145,
F0009_146,146,2. 全局变量分类 / 2.1 外生变量,dr_carb_i,dr_carb_i = theta_carb*(r_carb_target_i-r_carb_i)*dt + sigma_carb*dW_carb_i,V5_0332,migrated,canonical_formula,no,146,
F0010_159,159,2. 全局变量分类 / 2.2 隐藏物料状态,Stream,"Stream = { M_solid, M_water, C, Fe_mag, Fe_hem, Fe_carb, Fe_sil, Gangue, FeO_proxy, TFe, F200, F325, f25, d80, Liberation_fe, Liberation_gangue, WI, clay, T_slurry, rho_solid_mix, mu_slurry, buffer_capacity, hydrophobic_potential",V5_0203,migrated,canonical_formula,no,159,
F0011_177,177,2. 全局变量分类 / 2.2 隐藏物料状态,Fe_total,Fe_total = Fe_mag+Fe_hem+Fe_carb+Fe_sil,V5_0052,migrated,canonical_formula,no,177,
F0011_178,178,2. 全局变量分类 / 2.2 隐藏物料状态,M_solid,M_solid = Fe_total+Gangue,V5_0110,migrated,canonical_formula,no,178,
F0011_179,179,2. 全局变量分类 / 2.2 隐藏物料状态,TFe,"TFe = Fe_total/max(M_solid,eps)",V5_0204,migrated,canonical_formula,no,179,
F0012_185,185,2. 全局变量分类 / 2.2 隐藏物料状态,rho_solid_mix,"rho_solid_mix = M_solid / max( Fe_mag/rho_fe_mag + Fe_hem/rho_fe_hem + Fe_carb/rho_fe_carb + Fe_sil/rho_fe_sil + Gangue/rho_gangue, eps)",V5_0443,migrated,canonical_formula,no,185,
F0013_198,198,2. 全局变量分类 / 2.2 隐藏物料状态,M_wet,"M_wet = M_solid/max(C,eps)",V5_0120,migrated,canonical_formula,no,198,
F0013_199,199,2. 全局变量分类 / 2.2 隐藏物料状态,M_water,M_water = M_wet-M_solid,V5_0117,migrated,canonical_formula,no,199,
F0013_200,200,2. 全局变量分类 / 2.2 隐藏物料状态,V_slurry,V_slurry = M_solid/rho_solid_mix + M_water/rho_water,V5_0236,migrated,canonical_formula,no,200,
F0013_201,201,2. 全局变量分类 / 2.2 隐藏物料状态,rho_slurry,"rho_slurry = M_wet/max(V_slurry,eps)",V5_0442,migrated,canonical_formula,no,201,
F0014_207,207,2. 全局变量分类 / 2.2 隐藏物料状态,mu_slurry,mu_slurry = mu_water * exp(k_C_mu*C/(1-C+eps)) * (1+k_clay_mu*clay) * (1+k_f25_mu*f25) * (1+k_sil_mu*r_sil) * exp(k_temp_mu*(T_ref-T_slurry)),V5_0422,migrated,canonical_formula,no,207,
F0015_218,218,2. 全局变量分类 / 2.2 隐藏物料状态,F325_mixed,"F325_mixed = (M_solid_in1*F325_in1+M_solid_in2*F325_in2) / max(M_solid_in1+M_solid_in2,eps)",,superseded,duplicate_conflict_executable_preferred,yes,407,
F0015_222,222,2. 全局变量分类 / 2.2 隐藏物料状态,Liberation_fe_mixed,"Liberation_fe_mixed = (M_solid_in1*Liberation_fe_in1+M_solid_in2*Liberation_fe_in2) / max(M_solid_in1+M_solid_in2,eps)",,superseded,duplicate_conflict_executable_preferred,yes,409,
F0015_226,226,2. 全局变量分类 / 2.2 隐藏物料状态,Liberation_gangue_mixed,"Liberation_gangue_mixed = (M_solid_in1*Liberation_gangue_in1+M_solid_in2*Liberation_gangue_in2) / max(M_solid_in1+M_solid_in2,eps)",,superseded,duplicate_conflict_executable_preferred,yes,410,
