variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
B_eff,magnetic,derived,V5_0001,477,no,
C_feed,tower_mill,derived,V5_0002,1301,no,
C_feed_in,tower_mill,derived,V5_0003,1291,no,
C_i,boundary,derived,V5_0004,317,no,
C_mill,tower_mill,derived,V5_0005,1359,no,
C_mixed,boundary,derived,V5_0006,383,no,
C_under,flotation,derived,V5_0007,727,no,
C_under_s,flotation,derived,V5_0008,1456,no,
C_under_sp,flotation,setpoint,V5_0009,726,no,
C_under_sp_s,flotation,derived,V5_0010,1455,no,
Ca2_effect,flotation,derived,V5_0011,813,no,
Ca2_effect_s,flotation,derived,V5_0012,1526,no,
DeltaP_blower_Pa_b,flotation,derived,V5_0013,1550,no,
E_Ca2_carb,flotation,derived,V5_0014,818,no,
E_Ca2_sil,flotation,derived,V5_0015,817,no,
E_air,flotation,derived,V5_0016,925,no,
"E_air_{s,c}",flotation,derived,V5_0017,1595,no,
E_collector,flotation,derived,V5_0018,922,no,
"E_collector_{s,c}",flotation,derived,V5_0019,1592,no,
E_density,flotation,derived,V5_0020,926,no,
"E_density_{s,c}",flotation,derived,V5_0021,1596,no,
E_depressant,flotation,derived,V5_0022,923,no,
"E_depressant_{s,c}",flotation,derived,V5_0023,1593,no,
E_level,magnetic,derived,V5_0024,523,no,
E_lib_g,flotation,derived,V5_0025,928,no,
"E_lib_g_{s,c}",flotation,derived,V5_0026,1598,no,
E_mu,flotation,derived,V5_0027,929,no,
"E_mu_{s,c}",flotation,derived,V5_0028,1599,no,
E_pH,flotation,derived,V5_0029,924,no,
"E_pH_{s,c}",flotation,derived,V5_0030,1594,no,
E_pulse,magnetic,derived,V5_0031,521,no,
E_ring,magnetic,derived,V5_0032,522,no,
E_size,flotation,derived,V5_0033,927,no,
"E_size_{s,c}",flotation,derived,V5_0034,1597,no,
E_spec,tower_mill,derived,V5_0035,1373,no,
Entr,magnetic,derived,V5_0036,524,no,
F200_i,boundary,derived,V5_0037,332,no,
F200_mixed,boundary,derived,V5_0038,406,no,
F325_discharge,tower_mill,derived,V5_0039,1379,no,
F325_discharge_inst,tower_mill,derived,V5_0040,1374,no,
F325_feed,tower_mill,derived,V5_0041,1302,no,
F325_feed_in,tower_mill,derived,V5_0042,1292,no,
F325_i,boundary,derived,V5_0043,333,no,
F325_mixed,boundary,derived,V5_0044,407,no,
F325_overflow,tower_mill,derived,V5_0045,1345,no,
F325_sand,tower_mill,derived,V5_0046,1348,no,
FeO_proxy_i,boundary,derived,V5_0047,346,no,
Fe_carb_i,boundary,derived,V5_0048,343,no,
Fe_hem_i,boundary,derived,V5_0049,342,no,
Fe_mag_i,boundary,derived,V5_0050,341,no,
Fe_sil_i,boundary,derived,V5_0051,344,no,
Fe_total,global,derived,V5_0052,177,no,
Fe_total_i,boundary,derived,V5_0053,340,no,
Gangue_i,boundary,derived,V5_0054,345,no,
I_NT,flotation,equipment_signal,V5_0055,731,no,
I_NT_s,flotation,equipment_signal,V5_0056,1465,no,
I_blower_phys_b,flotation,equipment_signal,V5_0057,1552,no,
"I_cell_motor_phys_{s,c}",flotation,equipment_signal,V5_0058,1656,no,
"I_drug_j_phys_{s,j}",flotation,equipment_signal,V5_0059,1501,no,
I_exc,magnetic,equipment_signal,V5_0060,1215,no,
I_exc_sp,magnetic,setpoint,V5_0061,1214,no,
"I_mixer_phys_{s,k}",flotation,equipment_signal,V5_0062,1651,no,
I_ov_pump_phys,tower_mill,physical_signal,V5_0063,1404,no,
"I_pool_phys_{s,k}",flotation,equipment_signal,V5_0064,1641,no,
I_pump,tower_mill,equipment_signal,V5_0065,575,no,
I_pump_phys,tower_mill,physical_signal,V5_0066,1317,no,
I_ring_motor_phys,magnetic,physical_signal,V5_0067,1264,no,
I_tm,tower_mill,equipment_signal,V5_0068,650,no,
I_tm_phys,tower_mill,physical_signal,V5_0069,1371,no,
L_NT,flotation,state,V5_0070,725,no,
L_NT_s,flotation,state,V5_0071,1453,no,
L_cell_aerated,flotation,state,V5_0072,889,no,
"L_cell_aerated_{s,c}",flotation,state,V5_0073,1561,no,
Liberation_fe_discharge,tower_mill,derived,V5_0074,1380,no,
Liberation_fe_discharge_inst,tower_mill,derived,V5_0075,1375,no,
Liberation_fe_feed,tower_mill,derived,V5_0076,1303,no,
Liberation_fe_feed_in,tower_mill,derived,V5_0077,1293,no,
Liberation_fe_i,boundary,derived,V5_0078,361,no,
Liberation_fe_mixed,boundary,derived,V5_0079,409,no,
Liberation_fe_overflow,tower_mill,derived,V5_0080,1346,no,
Liberation_fe_sand,tower_mill,derived,V5_0081,1349,no,
Liberation_gangue_discharge,tower_mill,derived,V5_0082,1381,no,
Liberation_gangue_discharge_inst,tower_mill,derived,V5_0083,1376,no,
Liberation_gangue_feed,tower_mill,derived,V5_0084,1304,no,
Liberation_gangue_feed_in,tower_mill,derived,V5_0085,1294,no,
